"Label","Description","Units (preferred) or format","Category","Used In"
"LE_CORR_25","Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 25th percentile","W m-2","","ICOS / FLUXNET"
"LE_CORR_75","Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 75th percentile;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_CORR_75","Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 75th percentile","W m-2","","ICOS / FLUXNET"
"LE_CORR_JOINTUNC","Joint uncertainty estimation for LE; [SQRT(LE_RANDUNC^2 + ((LE_CORR75 - LE_CORR25) / 1.349)^2)]","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_CORR_JOINTUNC","Joint uncertainty estimation for LE. [SQRT(LE_RANDUNC^2 + ((LE_CORR75 - LE_CORR25) / 1.349)^2)]","W m-2","","ICOS / FLUXNET"
"LE_DATA_FLAG","Flag for LE (0: observed flux for which any quality control (QC) tests provided negligible evidences of error; 1: outlying flux rejected because at least one of the QC tests provided a moderate evidence of error; 2: flux removed because at least one of th","nondimensional","","ICOS"
"LE_f","gapfilled latent heat flux, filtered by all quality checks","W m-2","",""
"LE_F_MDS","Latent heat flux, gapfilled using MDS method;","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_F_MDS","Latent heat flux, gapfilled using MDS method","W m-2","","ICOS / FLUXNET"
"LE_F_MDS_QC","Quality flag for LE_F_MDS, LE_CORR, LE_CORR25, and LE_CORR75.; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_F_MDS_QC","Quality flag for LE_F_MDS, LE_CORR, LE_CORR25, and LE_CORR75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"LE_FMR_FLAG","Flag for the FMR test for LE (0: negligible evidences of error, IF FMR15)","nondimensional","","ICOS"
"LE_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for LE flux estimation","%","","ICOS"
"LE_LGD_FLAG","Flag for the LGD test for LE (0: negligible evidences of error, IF LGD180)","nondimensional","","ICOS"
"LE_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for LE flux estimation","seconds","","ICOS"
"LE_LSR_FLAG","Flag for the LSR test for LE (0: negligible evidences of error, IF LSR_STAT>0.995; 1: moderate evidences of error, IF 0.99?LSR_STAT?0.995; 2: severe evidences of error, IF LSR_STAT","nondimensional","","ICOS"
"LE_LSR_STAT","Statistic of the Low Signal Resolution test for LE","nondimensional","","ICOS"
"LE_M98_FLAG","Flag of the LE_M98_STAT (0: negligible evidences of error, IF M_98_STAT3)","nondimensional","","ICOS"
"LE_M98_STAT","Statistic of the nonstationarity ratio test by Mahrt (1998) for LE","nondimensional","","ICOS"
"LE_OOR_FLAG","Flag for LE denoting values out of the physically plausible range (0: within range; 2: out of range).","nondimensional","","ICOS"
"LE_orig_QCF0","measured (not gap-filled) latent heat flux of highest quality","W m-2","",""
"LE_OUTLYING_FLAG","Flag for LE denoting outliers (0: no outlying flux; 1: outlying flux)","nondimensional","","ICOS"
"LE_RANDUNC","Random uncertainty of LE, from measured only data; uses only data point where LE_F_MDS_QC is 0 and two hierarchical methods (see header and LE_RANDUNC_METHOD)","W m-2","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_RANDUNC","Random uncertainty of LE, from measured only data. uses only data point where LE_F_MDS_QC is 0 and two hierarchical methods (see header and LE_RANDUNC_METHOD)","W m-2","","ICOS / FLUXNET"
"LE_RANDUNC_METHOD","Method used to estimate the random uncertainty of LE; 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_RANDUNC_METHOD","Method used to estimate the random uncertainty of LE. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","","ICOS / FLUXNET"
"LE_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of LE;","nondimensional","ENERGY PROCESSING","FLUXNET HH (half-hourly)"
"LE_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of LE","nondimensional","","ICOS / FLUXNET"
"LE_scf","Spectral correction factor for latent heat flux","#","","EddyPro (_full_output_ file)"
"LE_SCF_STAT","Spectral correction factor for LE","nondimensional","","ICOS"
"LE_SSITC_TEST","Results of the quality flagging for LE according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)","nondimensional","","Ameriflux"
"LE_SSITC_TEST","Quality flagging for LE according to classification scheme by Foken et al (2004) and based on the combination of the results of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (0: high quality; 1:intermediate quality","nondimensional","","ICOS"
"LE_strg","Estimate of storage latent heat flux","W m-2","","EddyPro (_full_output_ file)"
"LE_UNCLEANED","Latent heat turbulent flux (no storage correction, uncleaned)","W m-2","","ICOS"
"LEAF_WET","Leaf wetness, range 0-100","%","","Ameriflux"
"LGR","Los Gatos laser","(instrument)","","EC raw data files (ASCII)"
"LS","Lightning strike","unitless","",""
"LSD","Lightning strike distance","km","",""
"LW","Longwave radiation","W m-2","",""
"LW _IN_RAW","Longwave Incoming Radiation without blackbody correction","W m-2","",""
"LW _OUT_RAW","Longwave Incoming Radiation without blackbody correction","W m-2","",""
"LW_BC_IN","Longwave radiation, below canopy incoming","W m-2","","Ameriflux"
"LW_BC_OUT","Longwave radiation, below canopy outgoing","W m-2","","Ameriflux"
"LW_IN","Longwave radiation, incoming","W m-2","","Ameriflux"
"LW_IN_ERA","Longwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_ERA","Longwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data","W m-2","","ICOS / FLUXNET"
"LW_IN_F","Longwave radiation, incoming, consolidated from LW_IN_F_MDS and LW_IN_ERA; LW_IN_F_MDS used if LW_IN_F_MDS_QC is 0 or 1","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_F","Longwave radiation, incoming, consolidated from LW_IN_F_MDS and LW_IN_ERA","W m-2","","ICOS / FLUXNET"
"LW_IN_F_MDS","Longwave radiation, incoming, gapfilled using MDS;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_F_MDS","Longwave radiation, incoming, gapfilled using MDS","W m-2","","ICOS / FLUXNET"
"LW_IN_F_MDS_QC","Quality flag for LW_IN_F_MDS; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_F_MDS_QC","Quality flag for LW_IN_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"LW_IN_F_QC","Quality flag for LW_IN_F; 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_F_QC","Quality flag for LW_IN_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"LW_IN_JSB","Longwave radiation, incoming, calculated from TA_F_MDS, SW_IN_F_MDS, VPD_F_MDS and SW_IN_POT using the JSBACH algorithm (Sonke Zaehle);","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_JSB","Longwave radiation, incoming, calculated from TA_F_MDS, SW_IN_F_MDS, VPD_F_MDS and SW_IN_POT using the JSBACH algorithm (Sonke Zaehle)","W m-2","","ICOS / FLUXNET"
"LW_IN_JSB_ERA","Longwave radiation, incoming, downscaled from ERA, linearly regressed using site level LW_IN_JSB calculated from measured only drivers;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_JSB_ERA","Longwave radiation, incoming, downscaled from ERA, linearly regressed using site level LW_IN_JSB calculated from measured only drivers","W m-2","","ICOS / FLUXNET"
"LW_IN_JSB_F","Longwave radiation, incoming, consolidated from LW_IN_JSB and LW_IN_JSB_ERA; LW_IN_JSB used if LW_IN_JSB_QC is 0 or 1","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_JSB_F","Longwave radiation, incoming, consolidated from LW_IN_JSB and LW_IN_JSB_ERA. LW_IN_JSB used if LW_IN_JSB_QC is 0 or 1","W m-2","","ICOS / FLUXNET"
"LW_IN_JSB_F_QC","Quality flag for LW_IN_JSB_F; 0 = calculated from measured drivers; 1 = calculated from good quality gapfilled drivers; 2: downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_JSB_F_QC","Quality flag for LW_IN_JSB_F. 0 = calculated from measured drivers; 1 = calculated from good quality gapfilled drivers; 2: downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"LW_IN_JSB_QC","Quality flag for LW_IN_JSB; highest from TA_F_MDS_QC, SW_IN_F_MDS_QC, and VPD_F_MDS_QC, poorest quality prevails","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_IN_JSB_QC","Quality flag for LW_IN_JSB. highest from TA_F_MDS_QC, SW_IN_F_MDS_QC, and VPD_F_MDS_QC, poorest quality prevails","nondimensional","","ICOS / FLUXNET"
"LW_OUT","Longwave radiation, outgoing","W m-2","","Ameriflux"
"LW_OUT","Longwave radiation, outgoing;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"LW_OUT","Longwave radiation, outgoing","W m-2","","ICOS / FLUXNET"
"MAX","Maximum","-","",""
"max_wind_speed","Maximum instantaneous wind speed","m s-1","","EddyPro (_full_output_ file)"
"MDS","Marginal distribution sampling (Reichstein et al., 2005)","-","","Fluxes"
"MEAS","(suffix) measured","","",""
"MET","Meteorological Data","-","",""
"MGMT_FERT_MIN_PARCEL","Management event: application of mineral fertilizer","1=yes, 0=no","MANAGEMENT","PI datasets"
"MGMT_FERT_ORG","Management event: application of organic fertilizer","1=yes, 0=no","MANAGEMENT","PI datasets"
"MGMT_GRAZING","Management event: grazing","1=yes, 0=no","MANAGEMENT","PI datasets"
"MGMT_MOWING","Management event: mowing","1=yes, 0=no","MANAGEMENT","PI datasets"
"MGMT_PESTICIDE_HERBICIDE","Management event: application of pesticides and/or herbicides","1=yes, 0=no","MANAGEMENT","PI datasets"
"MGMT_SOILCULTIVATION","Management event: soil cultivation (e.g., rolling, ploughing, harrowing, tillage)","1=yes, 0=no","MANAGEMENT","PI datasets"
"MGMT_SOWING","Management event: sowing","1=yes, 0=no","MANAGEMENT","PI datasets"
"MIN","Minimum","-","",""
"MIN","Minute","-","",""
"MINUTE","2 digit minute of the day","MM","",""
"MIRROR_RINGDOWNTIME","Mirror ring-down time","µs","","EC raw data files (ASCII)"
"MO_LENGTH","Monin-Obukhov length","m","","ICOS / Ameriflux"
"MONTH","2 digit month of year","mm","",""
"MSW","MeteoSwiss","","",""
"N2O","N2O molar fraction (in humid air), wet mole fraction","nmol mol-1,  µmol mol-1","","EC raw data files (ASCII)"
"N2O_DRY","N2O dry mole fraction (in dry air), mixing ratio, ppb","nmol mol-1","","EC raw data files (ASCII)"
"N2O_MIXING_RATIO","Nitrous Oxide (N2O) in mole fraction of dry air","nmolN2O mol-1","","Ameriflux"
"N2O_QCL_CMB","N2O concentration from QCL for chamber system","ppb (nmol N2O mol-1)","",""
"N2O_QCL_EC","N2O concentration from QCL for eddy system","ppb (nmol N2O mol-1)","",""
"N2O_QCL_PRF","N2O concentration from QCL for profile","ppb (nmol N2O mol-1)","",""
"NDVI","Normalized Difference Vegetation Index","nondimensional","","Ameriflux"
"NEE","Net ecosystem exchange of CO2","µmol CO2 m-2 s-1","","Fluxes"
"NEE","Net Ecosystem Exchange (cleaned)","umolCO2 m-2 s-1","","ICOS"
"NEE_CUT_05","NEE CUT 05 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_05_QC","Quality flag for NEE_CUT_05. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_16","NEE CUT 16 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_16_f","gap-filled NEE, filtered by all quality checks and the 16th percentile USTAR threshold (constant for all years) from FLUXNET analyses","µmol CO2 m-2 s-1","",""
"NEE_CUT_16_orig","measured (not gap-filled NEE), filtered by all quality checks and the 16th percentile USTAR threshold (constant for all years) from FLUXNET analyses","µmol CO2 m-2 s-1","",""
"NEE_CUT_16_QC","Quality flag for NEE_CUT_16. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_25","NEE CUT 25 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_25_QC","Quality flag for NEE_CUT_25. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_50","NEE CUT 50 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_50_QC","Quality flag for NEE_CUT_50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_75","NEE CUT 75 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_75_QC","Quality flag for NEE_CUT_75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_84_f","gap-filled NEE, filtered by all quality checks and the 84th percentile USTAR threshold (constant for all years) from FLUXNET analyses","µmol CO2 m-2 s-1","",""
"NEE_CUT_84_orig","measured (not gap-filled NEE), filtered by all quality checks and the 84th percentile USTAR threshold (constant for all years) from FLUXNET analyses","µmol CO2 m-2 s-1","",""
"NEE_CUT_86","NEE CUT 86 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_86_QC","Quality flag for NEE_CUT_86. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_95","NEE CUT 95 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_95_QC","Quality flag for NEE_CUT_95. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_MEAN","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, average from 40 NEE_CUT_XX versions; average from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_MEAN","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, average from 40 NEE_CUT_XX versions","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_MEAN_QC","Quality flag for NEE_CUT_MEAN, fraction between 0-1 indicating percentage of good quality data; average of percentages of good data (NEE_CUT_XX_QC is 0 or 1) from 40 NEE_CUT_XX_QC","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_MEAN_QC","Quality flag for NEE_CUT_MEAN, fraction between 0-1 indicating percentage of good quality data. average of percentages of good data (NEE_CUT_XX_QC is 0 or 1) from 40 NEE_CUT_XX_QC","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_REF","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_REF","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_REF_f","gap-filled NEE, filtered by all quality checks and the CUT_REF USTAR threshold (constant for all years) from FLUXNET analyses","µmol CO2 m-2 s-1","",""
"NEE_CUT_REF_JOINTUNC","Joint uncertainty estimation for NEE_CUT_REF, including random uncertainty and USTAR filtering uncertainty; [SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_REF_JOINTUNC","Joint uncertainty estimation for NEE_CUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_REF_orig_QCF0","measured (not gap-filled) NEE of highest quality, filtered by all quality checks and the CUT_REF percentile USTAR threshold (constant for all years) from FLUXNET analyses","µmol CO2 m-2 s-1","",""
"NEE_CUT_REF_QC","Quality flag for NEE_CUT_REF; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_REF_QC","Quality flag for NEE_CUT_REF. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_REF_RANDUNC","Random uncertainty for NEE_CUT_REF, from measured only data; uses only data points where NEE_CUT_REF_QC is 0 and two hierarchical methods - see header and NEE_CUT_REF_RANDUNC_METHOD","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_REF_RANDUNC","Random uncertainty for NEE_CUT_REF, from measured only data. uses only data points where NEE_CUT_REF_QC is 0 and two hierarchical methods - see header and NEE_CUT_REF_RANDUNC_METHOD","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_REF_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_CUT_REF; 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_REF_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_CUT_REF. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_REF_RANDUNC_N","Number of data points used to estimate the random uncertainty of NEE_CUT_REF;","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_REF_RANDUNC_N","Number of data points used to estimate the random uncertainty of NEE_CUT_REF","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_SE","Standard Error for NEE_CUT, calculated as SD(NEE_CUT_XX) / SQRT(40); SE from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_SE","Standard Error for NEE_CUT, calculated as SD(NEE_CUT_XX) / SQRT(40) from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_USTAR50","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, from 50 percentile of USTAR threshold;","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_USTAR50","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, from 50 percentile of USTAR threshold","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_USTAR50_JOINTUNC","Joint uncertainty estimation for NEE_CUT_USTAR50, including random uncertainty and USTAR filtering uncertainty; [SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_USTAR50_JOINTUNC","Joint uncertainty estimation for NEE_CUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_USTAR50_QC","Quality flag for NEE_CUT_USTAR50; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_USTAR50_QC","Quality flag for NEE_CUT_USTAR50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_USTAR50_RANDUNC","Random uncertainty for NEE_CUT_USTAR50, from measured only data; uses only data points where NEE_CUT_USTAR50_QC is 0 and two hierarchical methods - see header and NEE_CUT_USTAR50_RANDUNC_METHOD","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_USTAR50_RANDUNC","Random uncertainty for NEE_CUT_USTAR50, from measured only data. uses only data points where NEE_CUT_USTAR50_QC is 0 and two hierarchical methods - see header and NEE_CUT_USTAR50_RANDUNC_METHOD","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_CUT_USTAR50_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_CUT_USTAR50; 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_USTAR50_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_CUT_USTAR50 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_USTAR50_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of NEE_CUT_USTAR50;","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_USTAR50_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of NEE_CUT_USTAR50","nondimensional","","ICOS / FLUXNET"
"NEE_CUT_XX","NEE CUT percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95; XXth percentile from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_CUT_XX_QC","Quality flag for NEE_CUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_DATA_FLAG","Flag for NEE (i.e., 0: observed flux for which any quality control (QC) tests provided negligible evidences of error; 1: outlying flux rejected because at least one of the QC tests provided a moderate evidence of error; 2: flux removed because at least on","nondimensional","","ICOS"
"NEE_OOR_FLAG","Flag for NEE denoting values out of the physically plausible range (0: within range; 2: out of range).","nondimensional","","ICOS"
"NEE_OUTLYING_FLAG","Flag for NEE denoting outliers (0: no outlying flux; 1: outlying flux)","nondimensional","","ICOS"
"NEE_U50_QCF0","measured (not gap-filled) NEE of highest quality, filtered by all quality checks and the median (50th percentile) USTAR threshold","umol CO2 m-2 s-1","","diive"
"NEE_UNCLEANED","Net Ecosystem Exchange (uncleaned)","umolCO2 m-2 s-1","","ICOS"
"NEE_VUT_05","NEE VUT 05 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_05_QC","Quality flag for NEE_VUT_05. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_16","NEE VUT 16 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_16_QC","Quality flag for NEE_VUT_16. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_25","NEE VUT 25 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_25_QC","Quality flag for NEE_VUT_25. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_50","NEE VUT 50 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_50_QC","Quality flag for NEE_VUT_50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_75","NEE VUT 75 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_75_QC","Quality flag for NEE_VUT_75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_86","NEE VUT 86 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_86_QC","Quality flag for NEE_VUT_86. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_95","NEE VUT 95 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_95_QC","Quality flag for NEE_VUT_95. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_MEAN","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, average from 40 NEE_VUT_XX versions; average from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_MEAN","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, average from 40 NEE_VUT_XX versions","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"NEE_VUT_MEAN_QC","Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data; average of percentages of good data (NEE_VUT_XX_QC is 0 or 1) from 40 NEE_VUT_XX_QC","nondimensional","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_MEAN_QC","Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data. average of percentages of good data (NEE_VUT_XX_QC is 0 or 1) from 40 NEE_VUT_XX_QC","nondimensional","","ICOS / FLUXNET"
"NEE_VUT_REF","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","NET ECOSYSTEM EXCHANGE","FLUXNET HH (half-hourly)"
"NEE_VUT_REF","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
